Stu,Grad,EX1,EX1Date,EX1Loc,EX2,EX2Date,EX2Loc,Kap1.58,Kap2.58,CHEM111,BIO152,CHEM124,BIO213,BIO214,chem.111,bio.152,chem.124,bio.213,bio.214,APnonSMC,non.smc.a,non.smc.p,sci.gpa.dec10,BIO216Micro,X224Essen,bio.216,x.224,sci.gpa.may11,X321,X321.last,X323,X323.last,X326,X326.last,X330,X330.last,X334,X407,X410,X414,X415,X485,x.321,x.321.last,x.323,x.323.last,x.326,x.326.last,x.330,x.330.last,x.334,x.407,x.410,x.414,x.415,x.485,upper.gpa,cum.gpa
18,Spr13,1,7/17/13,SC,,,,54,67.2,B-,B+,B+,A,B,2.667,3.333,3.333,4,3,,,,3.26,B-,B,2.667,3,3.13,B+,B+,C+,C+,B-,B-,C+,C+,B,B-,B-,A-,A,C+,3.333,3.333,2.333,2.333,2.667,2.667,2.333,2.333,3,2.667,2.667,3.667,4,2.333,2.93,3.081
19,Spr13,1,7/5/13,MI,,,,56,70,,,,A-,B,,,,3.667,3,,,,2.8,B-,A-,2.667,3.667,2.95,C+,C+,C,C,C+,C+,B-,B-,B+,B,C+,B,A-,C+,2.333,2.333,2,2,2.333,2.333,2.667,2.667,3.333,3,2.333,3,3.667,2.333,2.69,3.0045
20,Spr13,0,,NC,1,10/1/13,,50.7,68.9,C-,C+,C-,B+,B,1.667,2.333,1.667,3.333,3,,,,2.4,A,A-,4,3.667,2.86,B,B,B-,B-,B,B,B-,B-,B+,A-,A-,A,A,A-,3,3,2.667,2.667,3,3,2.667,2.667,3.333,3.667,3.667,4,4,3.667,3.34,3.119
21,Spr13,1,6/19/13,IL,,,,64.7,,,B-,,B,B,,2.667,,3,3,,,,3.33,A,A,4,4,,B+,B+,B+,B+,A-,A-,A-,A-,A,A-,A-,A,A,A-,3.333,3.333,3.333,3.333,3.667,3.667,3.667,3.667,4,3.667,3.667,4,4,3.667,3.68,3.5747
22,Spr13,1,7/9/13,IL,,,,52,66.1,A-,B,C+,A,B+,3.667,3,2.333,4,3.333,,,,3.26,A-,A-,3.667,3.667,3.4,B-,B-,B-,B-,B-,B-,C+,C+,A-,B+,B,A,A,A-,2.667,2.667,2.667,2.667,2.667,2.667,2.333,2.333,3.667,3.333,3,4,4,3.667,3.14,3.4033
23,Spr13,1,24-Jun,,,,,52.1,63.9,C+,,B,B,C,2.333,,3,3,2,,,,2.66,B,B+,3,3.333,2.84,C+,C+,B-,B-,B-,B-,C+,C+,A-,B+,B-,B+,A-,B-,2.333,2.333,2.667,2.667,2.667,2.667,2.333,2.333,3.667,3.333,2.667,3.333,3.667,2.667,2.91,3.0396
24,Spr13,1,6/26/13,IL,,,,59.3,,B-,B-,B-,A,A,2.667,2.667,2.667,4,4,,,,3.2,A-,A-,3.667,3.667,3.35,B-,B-,B-,B-,C,C,B-,B-,B+,B,B+,A,A,B,2.667,2.667,2.667,2.667,2,2,2.667,2.667,3.333,3,3.333,4,4,3,3.05,3.2466
25,Spr13,1,6/28/13,IN,,,,52.7,61.7,C,C,C,A,A,2,2,2,4,4,,,,2.8,A,B+,4,3.333,3.06,B-,B-,C,C,B-,B-,C,C,B+,B-,C+,B,A-,B+,2.667,2.667,2,2,2.667,2.667,2,2,3.333,2.667,2.333,3,3.667,3.333,2.7,3.2674
26,Spr13,1,7/10/13,WA,,,,62.7,,A-,B,B,B+,B-,3.667,3,3,3.333,2.667,,,,3.13,B+,B+,3.333,3.333,3.19,B-,B-,B-,B-,B-,B-,C+,C+,B+,B,B-,A,A-,B,2.667,2.667,2.667,2.667,2.667,2.667,2.333,2.333,3.333,3,2.667,4,3.667,3,2.98,3.2302
27,Spr13,1,6/19/13,IL,,,,65.3,,A-,A,A,A,A,3.667,4,4,4,4,,,,3.93,A,A,4,4,,A-,A-,A-,A-,A-,A-,A-,A-,A,B+,A,A,A-,A,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,4,3.333,4,4,3.667,4,3.74,3.802
